Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
1.344300187,0.2562624,-0.01815162,-0.375452,0.02031463,0.04480733,1.00345,-1.29995,-23.03714,-42.15407,0.01539062
1.364311297,0.01370452,-0.5663542,0.3566611,-0.04125329,0.0002996083,1.009446,-2.029577,-22.66208,-43.08253,0.01539062
1.384322751,-0.04693495,0.7736965,-0.009395452,0.0203099,-0.01637418,0.9953279,-2.029577,-22.66208,-43.08253,0.01539062
1.404334111,0.3775413,0.4082282,0.3566611,0.02031463,0.04480733,1.00345,-2.029577,-22.66208,-43.08253,0.01539062
1.424345628,-0.1075744,0.7127851,1.210793,-0.03357013,-0.02268891,0.9941207,-1.299605,-23.02449,-43.08424,0.01539062
1.444356894,0.1956229,1.200076,0.3566611,0.02799815,0.01415984,0.9880667,-1.299605,-23.02449,-43.08424,0.01539062
1.464368421,0.1956229,0.5300509,0.905746,0.02033253,-0.01664479,1.018301,-0.938344,-22.66159,-42.64365,0.01539062
1.484379614,0.01370452,0.3473167,0.4176706,-0.002722758,0.01411616,1.056328,-0.938344,-22.66159,-42.64365,0.01539062
1.504391152,0.1956229,0.4691395,0.2346423,0.02035007,-0.07043794,1.033209,-0.938344,-22.66159,-42.64365,0.01539062
1.524402533,0.2562624,0.7127851,0.6617082,0.02801655,0.1057968,1.011736,-2.02704,-23.02285,-43.52152,0.01539062
1.544413789,-0.04693495,-0.4445314,0.1126234,-0.002751171,-0.02381785,1.025408,-2.02704,-23.02285,-43.52152,0.01539062
1.564425440,0.2562624,0.1645826,0.9667554,0.004953921,-0.03175905,1.033171,-2.027362,-23.03465,-42.65337,0.01539062
1.584436749,0.3775413,0.4082282,-0.1924237,0.02033761,0.03687776,1.026364,-2.027362,-23.03465,-42.65337,0.01539062
1.604448161,0.1349835,0.1645826,-0.4364614,0.004923749,-0.03139824,1.002541,-2.027362,-23.03465,-42.65337,0.01539062
1.624459521,0.1349835,0.8346079,1.271803,0.01262673,0.006614341,1.010653,-1.665779,-22.65995,-43.08093,0.01539062
1.644471079,0.1956229,0.4691395,-0.9855463,0.02032322,0.02174024,1.010933,-1.665779,-22.65995,-43.08093,0.01539062
1.664482533,0.07434399,0.4691395,0.3566611,0.004915151,-0.008331152,0.9950576,-2.027362,-23.03465,-42.65337,0.01539062
1.684493945,0.7413782,-0.3227086,0.3566611,-0.03352663,0.0150647,1.040356,-2.027362,-23.03465,-42.65337,0.01539062
1.704505233,3.106318,-7.022962,-1.473622,-0.06433981,0.05439826,1.017017,-2.027362,-23.03465,-42.65337,0.01539062
1.724516551,3.288236,-7.266608,-0.3144426,0.02027324,-0.03890007,0.9568661,-1.665618,-22.65405,-43.51501,0.01539062
1.744528057,2.499923,-4.586506,-1.168575,0.004967248,0.006355368,1.048776,-1.665618,-22.65405,-43.51501,0.01539062
1.764539522,2.742481,-10.06853,-2.510782,-0.01807768,-0.0242456,1.093997,-2.029416,-22.65618,-43.51661,0.01539062
1.784550944,6.138291,-11.59132,-5.805291,0.0127362,-0.07889708,1.11722,-2.029416,-22.65618,-43.51661,0.01539062
1.804562294,9.897938,-15.97694,-5.622263,0.01268778,-0.009425198,1.071797,-2.390999,-23.03088,-43.08904,0.01539062
1.824573539,10.68625,-17.01243,-3.608952,0.02810304,0.02821495,1.095388,-2.390999,-23.03088,-43.08904,0.01539062
1.844585004,13.65759,-17.3779,-0.7415086,0.02040584,0.02840698,1.095224,-2.390999,-23.03088,-43.08904,0.01539062
1.864596333,17.11404,-15.61147,1.149784,0.02805884,0.005779268,1.049269,-2.754797,-23.03301,-43.09064,0.01539062
1.884607735,21.84391,-11.71314,1.820887,0.0280341,0.05200366,1.026645,-2.754797,-23.03301,-43.09064,0.01539062
1.904619032,26.14932,-7.936633,2.308963,0.0434206,0.05936876,1.019374,-3.116564,-23.41446,-42.16699,0.01539062
1.924630559,31.54623,-3.733747,1.942906,0.0357234,0.05956079,1.019209,-3.116564,-23.41446,-42.16699,0.01539062
1.944641982,37.00378,-1.053645,2.064925,0.02032182,0.0523761,1.011165,-3.116564,-23.41446,-42.16699,0.01539062
1.964653290,41.30919,2.174659,3.834199,0.02798165,0.0449761,0.9729838,-3.109017,-24.57474,-42.24454,0.01539062
1.984664806,46.46354,6.62119,4.566312,0.03568498,0.07532973,0.9810376,-3.109017,-24.57474,-42.24454,0.01539062
2.004676041,50.16255,7.291215,5.237415,0.03568428,0.09064765,0.9811537,-3.830014,-25.69841,-40.83622,0.01539062
2.024687620,53.0126,8.631267,4.810349,0.02797919,0.09858885,0.97339,-3.830014,-25.69841,-40.83622,0.01539062
2.044698856,56.22649,8.387621,3.102086,0.02028778,0.1369855,0.9811735,-3.830014,-25.69841,-40.83622,0.01539062
2.064710289,57.01481,7.230304,0.6006988,0.02027988,0.1447347,0.9735741,-3.457034,-27.17477,-39.9861,0.01539062
2.084721868,59.13719,6.133899,-2.266744,0.02027883,0.1677116,0.9737482,-3.457034,-27.17477,-39.9861,0.01539062
2.104733165,61.32021,5.707519,-4.89015,0.02028531,0.1905982,0.9815798,-2.72044,-28.65574,-38.63828,0.01539062
2.124744567,64.71602,4.85476,-6.354376,0.02027777,0.1906884,0.9739223,-2.72044,-28.65574,-38.63828,0.01539062
2.144756063,68.90014,4.489291,-7.269517,0.02797427,0.2058143,0.9742026,-2.72044,-28.65574,-38.63828,0.01539062
2.164767465,72.47787,4.732937,-7.208508,0.02026953,0.2060966,0.9663808,-2.711626,-30.14772,-36.79758,0.01539062
2.184778658,77.02583,6.19481,-7.086489,0.02028426,0.2135751,0.9817539,-2.711626,-30.14772,-36.79758,0.01539062
2.204790352,80.60356,5.768431,-6.720433,0.01254689,0.2678309,0.9437083,-2.336219,-32.06451,-35.02302,0.01539062
2.224801649,84.12065,4.184734,-6.598414,0.02023443,0.3136829,0.9365632,-2.336219,-32.06451,-35.02302,0.01539062
2.244813051,87.21326,2.540127,-5.317216,0.02023267,0.3519777,0.9368533,-2.336219,-32.06451,-35.02302,0.01539062
2.264824328,89.45692,2.601038,-3.120876,0.03558075,0.3751117,0.8914106,-1.593164,-34.66994,-31.89161,0.01539062
2.284835720,92.73145,4.184734,-2.205735,0.02015302,0.4447873,0.8609745,-1.593164,-34.66994,-31.89161,0.01539062
2.304847382,93.45913,2.23557,-2.69381,0.004743543,0.4453517,0.8453311,-1.579759,-36.90117,-29.62665,0.01539062
2.324858607,91.94314,-1.114557,-2.876839,0.01244687,0.4757054,0.8533849,-1.579759,-36.90117,-29.62665,0.01539062
2.344870071,90.36652,-4.221038,-2.75482,0.01246739,0.5213885,0.8767058,-1.579759,-36.90117,-29.62665,0.01539062
2.364881514,87.51646,-2.759164,-3.547942,0.02008916,0.5220984,0.8002946,-1.568495,-38.83273,-26.92353,0.01539062
2.384892750,84.42384,0.04275978,-5.439235,0.01239845,0.5451772,0.8079621,-1.568495,-38.83273,-26.92353,0.01539062
2.404904308,82.11954,-0.992734,-9.526867,0.02006196,0.6219356,0.7780765,-1.560003,-40.33651,-24.21467,0.01539062
2.424915637,82.60466,-5.622,-13.24844,0.02000881,0.630226,0.7245317,-1.560003,-40.33651,-24.21467,0.01539062
2.444927028,83.08978,-6.840228,-16.54295,0.004592139,0.6232218,0.7011728,-1.560003,-40.33651,-24.21467,0.01539062
2.464938347,80.96739,-7.205697,-15.5668,0.01994092,0.6310378,0.6556139,-0.8191628,-42.56938,-21.51243,0.01539062
2.484949842,79.63332,-7.81481,-13.79753,0.02001459,0.6684306,0.7324795,-0.8191628,-42.56938,-21.51243,0.01539062
2.504961244,78.42054,-9.763975,-12.51633,0.01998231,0.7147452,0.7021976,-0.4492488,-43.70435,-18.79707,0.01539062
2.524972615,77.69286,-9.824886,-13.18743,0.01994424,0.7228552,0.663968,-0.4492488,-43.70435,-18.79707,0.01539062
2.544983954,77.93542,-8.972127,-13.6145,0.004542309,0.7233295,0.655982,-0.4434319,-44.85242,-15.27717,0.01539062
2.564995356,78.84502,-8.24119,-11.84523,0.01223986,0.7154785,0.6560881,-0.4434319,-44.85242,-15.27717,0.01539062
2.585006862,83.51425,-6.779316,-10.01494,0.01992846,0.7383535,0.648769,-0.4434319,-44.85242,-15.27717,0.01539062
2.605018306,88.36541,-1.419114,-8.672735,0.02751865,0.7700601,0.5419598,0.2831521,-44.88525,-12.54548,0.01539062
2.625029561,93.58041,1.80919,-8.855763,-0.003299608,0.7558712,0.5105569,0.2831521,-44.88525,-12.54548,0.01539062
2.645040943,95.82407,2.174659,-9.282829,-0.01097855,0.6869521,0.5251854,0.6531167,-46.09399,-8.900773,0.01539062
2.665052407,98.189,0.8346079,-8.245668,0.01216845,0.7928799,0.5877507,0.6531167,-46.09399,-8.900773,0.01539062
2.685063777,102.737,2.296481,-7.269517,-0.02641594,0.8026717,0.4874399,0.6531167,-46.09399,-8.900773,0.01539062
2.705075075,107.3456,3.758355,-5.92731,-0.03420224,0.7733103,0.3951532,1.384131,-46.87197,-5.310747,0.01539062
2.725086508,112.318,4.306557,-2.815829,-0.003414861,0.803178,0.3960421,1.384131,-46.87197,-5.310747,0.01539062
2.745097806,114.5617,7.04757,-0.2534332,0.01193181,0.8569478,0.3508315,1.384828,-47.30018,-0.7888527,0.01539062
2.765109281,117.2298,7.534861,1.759878,0.01959708,0.8954114,0.3206557,1.384828,-47.30018,-0.7888527,0.01539062
2.785120599,117.8362,8.753089,5.481453,-0.00354731,0.896619,0.2665605,1.384828,-47.30018,-0.7888527,0.01539062
2.805131897,118.0181,8.753089,8.470915,-0.01127538,0.9124897,0.2358822,1.38075,-46.99589,3.804871,0.01539062
2.825143320,114.6829,9.727672,10.72826,-0.01903468,0.9516981,0.1747479,1.38075,-46.99589,3.804871,0.01539062
2.845154752,110.0743,8.692178,12.9246,-0.01136222,0.9977306,0.1522877,1.008651,-45.94099,6.980553,0.01539062
2.865166133,101.9487,7.778507,16.40214,0.01162869,0.8911918,0.04476231,1.008651,-45.94099,6.980553,0.01539062
2.885177598,93.51977,9.179469,19.26958,-0.01149151,1.022241,0.02228378,1.008651,-45.94099,6.980553,0.01539062
2.905188989,84.84832,10.45861,21.2829,0.00385517,1.076011,-0.0229268,1.001801,-45.20892,11.58,0.01539062
2.925200474,73.63002,9.544937,20.91684,0.01927903,1.090584,0.008147775,1.001801,-45.20892,11.58,0.01539062
2.945211980,59.98614,5.890254,20.91684,0.01156605,1.106274,-0.007215401,0.631917,-44.5266,15.18485,0.01539062
2.965223268,46.22098,0.5300509,20.42876,0.01921834,1.098964,-0.05305445,0.631917,-44.5266,15.18485,0.01539062
2.985234628,32.2739,-5.865646,18.78151,0.01917238,1.114824,-0.09888358,0.631917,-44.5266,15.18485,0.01539062
3.005245947,18.69066,-9.459418,14.75489,0.01912642,1.130683,-0.1447127,-0.4720235,-42.72408,17.0029,0.01539062
3.025257161,5.531896,-12.26134,9.996151,0.03447626,1.115522,-0.1904456,-0.4720235,-42.72408,17.0029,0.01539062
3.045268969,-8.233264,-13.72322,5.908519,0.04990872,1.107028,-0.1518876,-1.204717,-42.00764,17.93968,0.01539062
3.065280131,-19.45156,-12.99228,1.942906,0.04993064,1.122075,-0.1287989,-1.204717,-42.00764,17.93968,0.01539062
3.085291700,-29.27516,-10.67765,-1.107565,0.04223486,1.091631,-0.1291953,-1.204717,-42.00764,17.93968,0.01539062
3.105302904,-35.9455,-5.622,-5.195197,0.02683292,1.092106,-0.1371812,-1.201996,-42.36166,17.00461,0.01539062
3.125314503,-41.82753,-4.160127,-9.038792,0.02690115,1.083635,-0.06832141,-1.201996,-42.36166,17.00461,0.01539062
3.145326260,-48.25531,-2.15005,-12.3333,0.02694711,1.067776,-0.02249229,-1.563257,-42.72456,16.56402,0.01539062
3.165337401,-55.16821,-0.8709111,-14.16358,0.0192729,1.060038,0.0002580946,-1.563257,-42.72456,16.56402,0.01539062
3.185348709,-61.77792,1.504633,-15.13973,0.01928009,1.067607,0.007973665,-1.563257,-42.72456,16.56402,0.01539062
3.205360163,-69.17593,2.23557,-13.91955,0.01931202,1.028951,0.03831362,-0.4637227,-43.78111,13.82562,0.01539062
3.225371534,-73.29942,5.463874,-11.84523,0.01937271,1.020571,0.09951584,-0.4637227,-43.78111,13.82562,0.01539062
3.245383008,-77.54418,10.88499,-7.269517,-0.003790438,0.9378003,0.02180956,-0.09450626,-44.48787,12.01909,0.01539062
3.265394223,-81.48575,16.36701,-1.534631,0.003965342,0.9751813,0.08352419,-0.09450626,-44.48787,12.01909,0.01539062
3.285405624,-84.82092,18.31618,3.102086,-0.02670311,0.9821653,0.205446,-0.08874178,-45.18412,9.280788,0.01539062
3.305416954,-86.57946,17.40251,6.091547,-0.01896785,0.9738632,0.2438399,-0.08874178,-45.18412,9.280788,0.01539062
3.325428480,-87.30714,18.438,10.05716,0.00412339,0.9809462,0.2443904,-0.08874178,-45.18412,9.280788,0.01539062
3.345439799,-89.67207,19.59532,15.73104,-0.003574159,0.9887972,0.2442843,-0.807457,-46.29977,5.603394,0.01539062
3.365451253,-92.21893,18.55982,20.55078,-0.01120066,0.9269056,0.3125736,-0.807457,-46.29977,5.603394,0.01539062
3.385462446,-91.85509,18.31618,22.86914,0.01197461,0.9100194,0.397183,-0.4424863,-46.25465,2.442434,0.01539062
3.405473827,-92.15829,16.48884,24.21135,0.01969373,0.9248747,0.4204358,-0.4424863,-46.25465,2.442434,0.01539062
3.425485396,-92.88597,14.11329,24.76043,-0.003453474,0.987354,0.3668048,-0.4424863,-46.25465,2.442434,0.01539062
3.445496735,-92.64341,12.28595,24.33337,0.03513725,0.8397008,0.466071,-1.891408,-46.94088,-1.666515,0.01539062
3.465508127,-94.88707,16.42793,24.76043,0.03504815,0.8101474,0.3739484,-1.891408,-46.94088,-1.666515,0.01539062
3.485519529,-97.19137,15.81881,25.12649,0.02748953,0.747444,0.5111555,-2.617831,-46.90214,-4.832281,0.01539062
3.505530941,-95.8573,10.45861,21.64895,0.02760127,0.7767268,0.6262507,-2.617831,-46.90214,-4.832281,0.01539062
3.525542259,-94.58387,7.47395,16.70719,0.05064654,0.7996689,0.5809722,-2.617831,-46.90214,-4.832281,0.01539062
3.545553661,-97.73712,8.387621,15.42599,0.02746007,0.7324869,0.4804094,-4.076257,-46.12168,-8.921598,0.01539062
3.565565011,-102.8915,8.022152,13.77874,0.02751779,0.62463,0.5331995,-4.076257,-46.12168,-8.921598,0.01539062
3.585576569,-103.1947,4.42838,8.531924,0.06615427,0.6295248,0.6872292,-4.804872,-45.70953,-12.57854,0.01539062
3.605587856,-103.4979,0.7127851,2.430982,0.1123418,0.6972131,0.6963941,-4.804872,-45.70953,-12.57854,0.01539062
3.625599342,-106.5905,4.367468,0.7227177,0.1122671,0.6827971,0.6197028,-4.804872,-45.70953,-12.57854,0.01539062
3.645610900,-112.4725,7.839418,-0.3144426,0.06604324,0.584924,0.572018,-5.235309,-44.49525,-16.6576,0.01539062
3.665622093,-113.6247,3.636532,-4.402074,0.02012109,0.4834429,0.8306345,-5.235309,-44.49525,-16.6576,0.01539062
3.685633839,-111.6842,-4.891063,-9.16081,0.02781477,0.5598404,0.8313791,-5.241126,-43.34718,-20.1775,0.01539062
3.705645022,-116.2928,-4.586506,-10.99109,0.09704252,0.5969482,0.7872017,-5.241126,-43.34718,-20.1775,0.01539062
3.725656465,-119.3854,-2.941899,-12.02825,0.05081218,0.4761884,0.7316853,-5.241126,-43.34718,-20.1775,0.01539062
3.745667971,-119.3854,-0.992734,-14.46863,0.02011199,0.3534209,0.8143328,-4.822121,-42.1823,-24.74972,0.01539062
3.765679175,-108.5916,-9.033038,-16.54295,0.0202546,0.367025,0.959942,-4.822121,-42.1823,-24.74972,0.01539062
3.785690858,-104.4681,-11.22585,-16.17689,0.03563355,0.3744803,0.9450133,-4.109823,-39.56244,-28.3088,0.01539062
3.805716437,-101.1329,-8.972127,-13.91955,0.04327287,0.3213972,0.883511,-4.109823,-39.56244,-28.3088,0.01539062
3.825727745,-96.58498,-5.500177,-13.43147,0.03554831,0.2606782,0.8522524,-4.109823,-39.56244,-28.3088,0.01539062
3.845739178,-92.34021,-2.332785,-13.43147,0.02790462,0.244921,0.9055749,-5.27293,-37.63088,-31.51308,0.01539062
3.865750465,-86.45818,-4.769241,-12.08926,0.02798759,0.2439287,0.9898078,-5.27293,-37.63088,-31.51308,0.01539062
3.885762211,-82.69854,-4.891063,-8.306678,0.06645235,0.2126033,0.967424,-4.500505,-35.02921,-33.70766,0.01539062
3.905773238,-80.21232,2.357393,-3.486933,0.06639307,0.190348,0.9059896,-4.500505,-35.02921,-33.70766,0.01539062
3.925784702,-74.99732,6.499367,0.1126234,0.02793147,0.1527428,0.9278511,-4.500505,-35.02921,-33.70766,0.01539062
3.945796010,-66.5078,6.864836,0.9667554,0.02030321,0.1291461,0.9964306,-3.788529,-32.42116,-36.39858,0.01539062
3.965807506,-57.22995,4.85476,1.57685,0.02806548,0.189414,1.065977,-3.788529,-32.42116,-36.39858,0.01539062
3.985818876,-50.68089,6.072988,3.102086,0.06651445,0.1735869,1.028394,-3.802491,-30.13472,-38.22864,0.01539062
4.005830174,-40.79666,9.301291,4.871359,0.04341919,0.09000461,1.019606,-3.802491,-30.13472,-38.22864,0.01539062
4.025841566,-30.48795,11.37228,6.94568,0.02802586,0.06741179,1.019103,-3.811328,-28.64359,-40.00733,0.01539062
4.045852895,-22.96865,12.83415,7.86082,0.02033514,0.09049051,1.026771,-3.811328,-28.64359,-40.00733,0.01539062
4.065864369,-18.48133,11.67684,7.494764,0.03573427,0.151288,1.035221,-3.811328,-28.64359,-40.00733,0.01539062
4.085875813,-16.96535,11.06772,6.640633,0.04339989,0.1820926,1.004987,-4.179717,-27.90647,-40.43319,0.01539062
4.105887152,-17.8143,10.82408,5.481453,0.04341638,0.1512763,1.02007,-4.179717,-27.90647,-40.43319,0.01539062
4.125898627,-18.05686,9.788583,3.956218,0.02801655,0.1057968,1.011736,-3.823047,-26.80432,-40.41687,0.01539062
4.145909935,-17.99622,9.118557,1.942906,0.02033409,0.1134674,1.026945,-3.823047,-26.80432,-40.41687,0.01539062
4.165921577,-17.63238,5.098405,0.05161398,0.02036391,0.1207656,1.057633,-3.823047,-26.80432,-40.41687,0.01539062
4.185932968,-19.33029,2.601038,-1.839678,0.02034163,0.1133772,1.034602,-3.461625,-26.43552,-40.41035,0.01539062
4.205944266,-19.39092,1.504633,-3.608952,0.02032006,0.09067091,1.011455,-3.461625,-26.43552,-40.41035,0.01539062
4.225955678,-18.17814,0.5300509,-5.683272,0.01262392,0.06788605,1.011117,-3.465871,-25.68363,-41.76478,0.01539062
